Food Name,Carbohydrates (g),Proteins (g),Fats (g),Calories (kcal),Diet Category
Peanuts,44.7,3.8,29.9,463.1,Carb-Rich
Eggs,16.2,38.2,16.6,367.0,Protein-Rich
Salmon,49.3,48.1,17.7,548.9,Carb-Rich
Paneer,50.2,24.3,31.8,584.2,Carb-Rich
Almonds,36.8,26.2,25.9,485.1,Carb-Rich
Almonds,2.7,38.2,39.8,521.8,Fat-Rich
Almonds,24.3,39.1,31.7,538.9,Protein-Rich
Bread,3.1,14.9,29.2,334.8,Fat-Rich
Banana,27.3,17.1,1.8,193.8,Carb-Rich
Sweet Potato,20.9,10.1,26.9,366.1,Fat-Rich
Eggs,44.7,6.0,2.6,226.2,Carb-Rich
Salmon,75.0,46.1,16.0,628.4,Carb-Rich
Avocado,19.4,16.9,18.8,314.4,Carb-Rich
Rice,14.9,16.7,31.8,412.6,Fat-Rich
Lentils,46.5,16.8,36.8,584.4,Carb-Rich
Salmon,14.3,25.5,3.0,186.2,Protein-Rich
Bread,49.5,22.6,37.2,623.2,Carb-Rich
Almonds,9.8,20.9,16.3,269.5,Protein-Rich
Avocado,31.8,46.9,3.8,349.0,Protein-Rich
Avocado,49.9,30.5,22.7,525.9,Carb-Rich
Almonds,16.8,11.7,9.7,201.3,Carb-Rich
Paneer,43.6,8.4,33.5,509.5,Carb-Rich
Eggs,28.2,39.3,30.0,540.0,Protein-Rich
Eggs,3.2,4.5,35.2,347.6,Fat-Rich
Rice,11.9,7.2,2.3,97.1,Carb-Rich
Bread,47.0,41.4,1.9,370.7,Carb-Rich
Peanuts,16.4,22.1,7.3,219.7,Protein-Rich
Eggs,51.8,41.2,3.2,400.8,Carb-Rich
Chicken,63.9,47.5,20.6,631.0,Carb-Rich
Salmon,55.7,1.6,36.8,560.4,Carb-Rich
Eggs,57.4,3.2,24.2,460.2,Carb-Rich
Peanuts,72.3,44.4,31.7,752.1,Carb-Rich
Bread,12.8,6.5,6.8,138.4,Carb-Rich
Cheese,75.6,38.6,30.3,729.5,Carb-Rich
Paneer,45.7,28.4,25.6,526.8,Carb-Rich
Oats,7.7,39.2,31.2,468.4,Protein-Rich
Eggs,64.0,46.8,2.6,466.6,Carb-Rich
Almonds,20.0,34.3,9.4,301.8,Protein-Rich
Beans,42.2,36.6,38.8,664.4,Carb-Rich
Tofu,47.2,30.7,37.1,645.5,Carb-Rich
Banana,40.9,17.9,14.6,366.6,Carb-Rich
Tofu,23.7,21.1,5.5,228.7,Carb-Rich
Bread,68.3,12.7,32.2,613.8,Carb-Rich
Paneer,62.2,43.6,23.6,635.6,Carb-Rich
Avocado,24.0,45.1,19.6,452.8,Protein-Rich
Eggs,10.1,23.7,37.8,475.4,Fat-Rich
Rice,72.5,14.2,24.1,563.7,Carb-Rich
Rice,38.7,5.9,24.0,394.4,Carb-Rich
Yogurt,33.1,3.8,17.2,302.4,Carb-Rich
Milk,13.7,22.6,35.1,461.1,Fat-Rich
Bread,41.2,39.9,6.8,385.6,Carb-Rich
Tofu,18.3,22.2,35.2,478.8,Fat-Rich
Almonds,35.1,9.5,12.9,294.5,Carb-Rich
Yogurt,16.1,3.6,4.7,121.1,Carb-Rich
Chicken,55.3,34.1,36.3,684.3,Carb-Rich
Yogurt,26.5,25.7,32.0,496.8,Fat-Rich
Avocado,48.7,49.0,29.2,653.6,Protein-Rich
Chicken,1.1,50.0,10.1,295.3,Protein-Rich
Oats,78.1,46.0,28.0,748.4,Carb-Rich
Beans,42.9,8.0,21.8,399.8,Carb-Rich
Salmon,36.3,44.3,31.2,603.2,Protein-Rich
Peanuts,55.9,10.0,23.0,470.6,Carb-Rich
Apple,37.6,33.7,1.7,300.5,Carb-Rich
Almonds,71.9,42.3,26.6,696.2,Carb-Rich
Milk,36.3,28.5,3.3,288.9,Carb-Rich
Chicken,63.0,6.4,25.6,508.0,Carb-Rich
Cheese,65.0,41.8,30.4,700.8,Carb-Rich
Quinoa,17.7,22.4,20.0,340.4,Protein-Rich
Salmon,59.3,32.9,8.4,444.4,Carb-Rich
Salmon,14.8,5.0,9.6,165.6,Carb-Rich
Sweet Potato,36.8,43.0,30.1,590.1,Protein-Rich
Cheese,50.7,20.7,30.4,559.2,Carb-Rich
Banana,30.2,36.0,7.8,335.0,Protein-Rich
Beans,14.0,36.4,13.1,319.5,Protein-Rich
Peanuts,40.7,32.4,20.4,476.0,Carb-Rich
Cheese,58.1,45.1,20.0,592.8,Carb-Rich
Banana,47.2,0.0,18.0,350.8,Carb-Rich
Oats,22.1,23.6,4.1,219.7,Protein-Rich
Yogurt,71.9,19.7,17.1,520.3,Carb-Rich
